,tweetText,pos_count,neg_count,sentiment
97,believe campus remain heart university experience essential research learning amp studentsuccess yet hybrid onlineoffline approach emerge improve student experience amp expand access kpmgus highered,3,5,Negative
98,get clinical updates primarycare expert clinicianeducators cost primarycarenow join us november gain free access cmece sessions anxiety health disparities influenza nutrition vaping,3,2,Positive
99,use group communication carefully great way collect student feedback online teaching well make meetings optional relaxed elemchat edchat edchateu education,3,4,Negative
100,obvious department majority us parents worried kids falling behind school still grateful pewresearch data bc evidence support needed education school,2,4,Negative
101,rural india took online education lockdown times india ruralindiaonline school education pandemic,0,1,Negative
102,check public amp online course schedule study online professional courses carrying continuing professional education cpe credits fintech riskmanagement payments banking technology erm training courses onlinetraining fx,1,3,Negative
103,many programs transitioned online courses graduates columbiassw online msw program provide inside tips getting online program socialwork mattheamarquart swtech socworkpodcast spcummings,1,2,Negative
104,series recovery details education leaders use data support research keep parents informed protect student privacy online learning,5,3,Positive
105,skema dean alice guilhon recently participated online conference organised campus com agency partnership arces discussed economic stakes education institutions crisis among things details,0,4,Negative
106,series events converged put new impetus behind sharing courses onlinethe pandemicrapid deployment remotelearning growth moocs amp mounting financial pressure colleges amp universities government,1,4,Negative
107,sindh education minister saeed ghani confirmed possibility closing schools across province due coronavirus pandemic saeed ghani said students study online home help tablets schools closed thecivileyes sindh,0,8,Negative
108,online exam left classmates tears shreya strong suggestions give students better learning experience foreverychild education,2,2,Neutral
109,whether classroom instruction person online hybrid students faculty determined make whatever store highered edtech education learning remotelearning pedagogy elearning onlineeducation,0,4,Negative
110,online education steadily rise pandemic shown important onlineeducation,1,1,Neutral
111,loving new normal blended conference productivity creativity generated celebrated excellence education lccmlondon oscarkrane lockdown,5,2,Positive
112,annual status education report aser revealed enrolled student family least one smartphone take online classes pandemic aser onlineclasses student,2,3,Negative
113,not books rural areas every smartphone online learning every smartphone nt get study materialeducation,2,1,Positive
114,inadequate access internet amp smartphones lead hindrance online education thus hampering learning experience students presented various challenges also helped exploring technological solutions increase holistic coverage,6,8,Negative
115,want become something like bill gates kid coders like hirranyaa showing india pioneering online education remote learning feeds demand programming lessons via bw whitehatjunior,2,0,Positive
116,interesting amp eye opening report effect education india across world learnings aprx children amp india around mn affected around kids even not textbooks access online learning,1,1,Neutral
117,online science paper class lk onlineclasses onlineeducation lka learn learnonline study education,0,0,Neutral
118,nstworld prioritising reopening schools providing muchneeded catchup classes critical un worldbank coronavirus education children students,0,8,Negative
119,online learning not new america instead new americans caused shift crisis schooling time reflect reimagine education america school futureofschool,0,1,Negative
120,cardiology need know join dr peter libby keynote address cardiologynow tuesday november learn cardiovascular complications coronavirus help patients register,1,2,Negative
121,pandemic changed almost every aspect lives including students receive education check interesting article world economic forum pandemic changed education forever,1,8,Negative
122,washingtonpost cpercheski said believes online classes widening gap wealthier less privileged students live crowded houses less educated parents less able help homework,4,6,Negative
123,usfhealth annual ipe day held online nov noon year theme globalization infectiousdiseases focuses value working across fields address amp learn better prepared future pandemics,5,1,Positive
124,removing teen dc public schools teenager cope socialdistancing environment forced socially isolated learn online nt correct approach education stop using excuse horrible google nt enough,3,7,Negative
125,commentary coronavirus sending universities back school throwback education university,0,3,Negative
126,today agenda updates top va education director speaks gibill colemeryact,1,2,Negative
127,states across europe ensure quality education times online conference education ministers tomorrow,0,0,Neutral
128,great post dsocia gmillener fix online education era access broadband,1,0,Positive
129,join us online est international panel aod nursing last week still register conference see online addictions nursing education,0,3,Negative
130,help coronavirus disabled uni students getting enough help bbc news via googlenews prek esl learning technology wednesdayvibes reading technology online wednesdaymorning wednesdaythoughts education writingcommunity,3,8,Negative
131,course nursing school looks lot different students learning small groups online one silver lining created opportunities use simulation create meaningful safe patient scenarios students,3,3,Neutral
132,want become something like bill gates kid coders like hirranyaa showing india pioneering online education switch remote learning feeds demand programming lessons read,2,1,Positive
133,amazon new campaign help needy students continue online education onlinelearning amazon,0,3,Negative
134,children schools overlooked risk wiley online library covidtesting children education schools news,0,3,Negative
135,raised capital market education help young nigerians understand capital market dr yuguda secnigeria aitonline,0,1,Negative
136,begin investor education raise awareness investors dr yuguda secnigeria aitonline capitalmarkets,0,2,Negative
137,news botfeed top story business want become something like bill gates kid coders like hirranyaa showing india pioneering online education switch remote see,3,2,Positive
138,want become something like bill gates kid coders like hirranyaa showing india pioneering online education switch remote learning feeds demand programming lessons via bw whitehatjunior,2,1,Positive
139,impact roma children romania vast majority not electronic devices ensure consistently join online courses even join article colleague muellerbudapest thomas hackl,2,5,Negative
140,undersecretary ministry education around per cent students study online equals students omanimoh coronavirus المؤتمرالصحفيللجنةالعليا,0,3,Negative
141,undersecretary ministry education public schools students grades undergo online studies grade undergo blended learning kindergarten online classes omanimoh المؤتمرالصحفيللجنةالعليا,0,4,Negative
142,kuleuven moves code red education online least courses continue unaffected online format,1,0,Positive
143,want become something like bill gates kid coders like hirranyaa showing india pioneering online education switch remote learning feeds demand programming lessons video via quicktake bw,2,1,Positive
144,kid coders showing india pioneering online education switch remote learning feeds demand programming lessons,1,1,Neutral
145,directing education department take utmost care observe protocols reopening schools cmofficeassam also announced govt give smartphones economically backward students help online classes assam,2,8,Negative
146,pandemic created massive increase demand popularity elearning agree elearning education onlinelearning learning covid edtech online distancelearning school teaching students stayhome onlinecourses onlineclasses training,2,4,Negative
147,online teaching challenges says bindhya teacher karnataka foreverychild education,0,2,Negative
148,want become something like bill gates kid coders like hirranyaa showing india pioneering online education switch remote learning feeds demand programming lessons bw whitehatjunior,2,1,Positive
149,even hit online retailer amazon announced would commit million upskill workers learn amazon upskilling program listen ardinewilliams interview lessonsearned stradaeducation wkdev,2,4,Negative
150,many education systems pacific region thinking creatively reaching students particularly limited online access athome schooling read distance learning takehome packets new infographic,1,5,Negative
151,still not get govuganda hurry open schools exactly rational education run away personally hear report school end sem exams not online yes physical nedda,1,0,Positive
152,school students union actually see mostly guiding online learning goingyou see students helping guide lead process education actually systematically improved nsscja,4,4,Neutral
153,pleased join reflection implications w tracyzam sunnurses joining education conference online today thank local sponsorship,4,4,Neutral
154,accessibility higher education affected remote learning due pandemic join us minutes twitter sdpinstitute sdpichat address questions accessibility online realm education,0,1,Negative
155,guys livhealthiness fantastic providing fee online daily exercise classes people liverpool suitable abilities always recommend service diabetes education sessions well done,6,4,Positive
156,education substituting online kindergarten critical first year formal education consequences decades children parenting learning distancelearning,0,4,Negative
157,implications online preclinical medical education voicing student concerns thank tarika srinivasan bethany brumbaugh harvardmed commentary medical education medtwitter medstudenttwitter,1,5,Negative
158,akron schools stay allonline inperson services struggling students akron schools coronavirus pandemic dpcdata,0,6,Negative
159,great bedtime books preschoolers new york times via googlenews prek esl learning technology tuesdayvibes homeschool reading technology online tuesdaymorning tuesdaythoughts education,1,3,Negative
160,study online professional courses carrying continuing professional education cpe credits fintech riskmanagement payments banking technology erm training courses onlinetraining fx,1,2,Negative
161,education countries severely disrupted access online learning highly unequal latest findings younglives phone survey povertyalleviation researchhighlight blogs,0,8,Negative
162,risk mothers careers extraordinary risk right atlantic via googlenews prek esl learning technology tuesdayvibes homeschool reading technology online tuesdaymorning tuesdaythoughts education,2,4,Negative
163,telecom industry changing world responds demands brought,0,4,Negative
164,inperson online adapting impact education work feature chnuf discuss msft goog fb goog snow chgg edu gsx tal gnus msft nvda virtualschool coronavirus coronaviruscure,3,2,Positive
165,sign successful online course treat care critically ill pandemic pleased deliver free critical care resource edinburghuni uoeonline find join,7,7,Neutral
166,news badiri education development academy enrich participants selfdevelopment online workshops impart range emotional interpersonal skills needed navigate challenges thrive crisis namawomen,6,5,Positive
167,digital learning solutions online learning remotelearning resources education,0,1,Negative
168,expcomputer interesting well education sector largely affected due led introduction technology completely changed traditional concept education bringing online education tech opened new opportunities ai ml,3,2,Positive
169,joint initiative bihareducation eckovation unicef india mera mobile mera vidyalaya providing class students online video lessons assessments artificial intelligence identify learning gaps foreverychild education,3,4,Negative
170,since many countries exploring remoteonline learning scale timor leste holding first ict amp innovation education conference drawing lessons pandemic amp reimagining future education uniceftl,4,4,Neutral
171,five ways educational institutions make smooth seamless transition onlinelearning highered educhat elearning onlineeducation remoteeducation remoteteaching edutech highereducation,2,2,Neutral
172,sal khan khanacademy samcharrington explore sal perspective build educational platform like khan academy role community efforts online community education continue evolve pandemic learn,2,1,Positive
173,old working long got doozy email today student note school online enjoy tyrannosaurusteacher pandemica education teaching teachinginapandemic,3,6,Negative
174,study online professional courses carrying continuing professional education cpe credits fintech riskmanagement payments banking technology erm training courses onlinetraining,1,2,Negative
175,professional courses carrying continuing professional education cpe credits study online fintech risk payments banking technology erm bank training courses,0,1,Negative
176,online access students crucial time help us collect new gently used devices underserved students san jose without access donate,0,3,Negative
177,thanks edreform including parent support online learning ed essentials database wonderful resource families educators onlinelearning remotelearning homeschooling education parenting teaching,6,6,Neutral
178,get ahead amp stand crowd accredited level online courses free everyone aged living england amp not education courses choose visit enrol career job employment training redundancy work,2,2,Neutral
179,years created opportunities teaching learning skills dialogue response education crisis launched ultimate dialogue adventure online pathway students stay connected learning,1,7,Negative
180,evidence offline learning works better online learning basic medical education study shows done impact school courses,3,0,Positive
181,glad join conversation online distance education time osuehe osuedstudies osucete,1,4,Negative
182,kings al barsha acts swiftly moved online learning following confirmed covid cases education tests kings kingsalbarsha,2,0,Positive
183,pandemicforced remotelearning amp accelerated adoption onlinebased learning modules across southeastasiasingapore highereducation institutions amp polytechnics committed delivering hybrid learning asia government policy,0,2,Negative
184,osstf continues partner w researchers studying pandemic health impacts members working public education lend voice complete online survey oct nov eng fre onted,2,2,Neutral
185,not forget sign wednesday free online lunchtime seminar amp online educationinequalities researchessex,1,1,Neutral
186,healthcare leaders please share free online resource created staff acute amp criticalcare care amp new returning care patients course includes resources selfcare staff wellbeing nhsheroes futurelearn,9,5,Positive
187,private school pupils twice likely receive full days online lessons lockdown amp times likely state school pupils least four online lessons day via mailonline education lse,1,1,Neutral
188,icymi oct dept education imposed legal duty schools provide onlineremote learning pupils missing schools due oct dfe informed schools allocation laptops disadvantaged pupils would cut,3,6,Negative
189,study online professional courses carrying continuing professional education cpe credits fintech riskmanagement payments banking payments technology erm bank training courses onlinetraining,1,2,Negative
190,kickstart week season cyberdemocracy first ep soradhikal discusses effect women reporting domestic violence domestic workers queer communities amp sex workers girls access online education,1,3,Negative
191,mvstforg varshaegaikwad mrhasanmushrif nawabmalikncp mahadgipr infoparbhani airparbhani unicefindia mahahealthiec cmomaharashtra airnewsalerts officialramnath unicefeducation educationweek mvstf parbhani rdf shitul kamble online education world wide pendamic energatic mvstf parbhani team try reach teach nt smartphones education moral motivational support zp de sir,4,3,Positive
192,online teaching looks like teaching onlineclasses education,1,1,Neutral
193,winteroakpress robinmonotti online education lucrative business cuomo said may new york work bill gates reimagine education needs school buildings pupils interacting,3,4,Negative
194,experts medical education across middle east europe convened online symposium hosted weill cornell medicineqatar wcmqatar discuss latest trends simulationbased learning including impact pandemic,0,4,Negative
195,related tma reported flores chang et hempstead newyork thrombotic tma patient kidneywk,3,1,Positive
196,nstnation registered learning institutions education ministry sabah shuttered nov coronavirus cmco,0,1,Negative
197,uk largest academic union ucu seeking judicial review government decision ignore advice sage committee experts move nonessential university amp college teaching online september,0,4,Negative
198,least students staff contracted uk universities autumn many go develop longcovid need data countries spread higher education prevented eg online teaching countlongcovid,0,4,Negative
199,reminded journal higher education policy management paper emhazpsy clfox lil ole available online student antibullying harassment policies uk universities highereducation bullying,2,8,Negative
200,lpoolcityregion prepares distribute grants adult education providers help learners obtain computer equipment digitalexclusion,0,3,Negative
201,joanneewade confirmation last hour department education private music teaching remain online throughout new restrictions music lessons take place students homes option viable,0,8,Negative
202,missed week excellent online global summit ethics ai education curated ieaied institute ethical ai education recordings sessions available weeks ethicsaied,4,6,Negative
203,online interactive safeguarding training designated safeguarding leads training covers responsibilities dsl onlinesafety according latest update keeping children safe education legislation,3,2,Positive
204,education system nt help accept fact plate regurgitate exams little wonder adults accept whatever fact read fb son school encourage discussion debate may not tick boxes get adults think,4,3,Positive
205,wgmineducation yes schools live stream wish range blended learning support guidance available hwb along guidance livestreaming videoconferencing,3,1,Positive
206,last months seen rise issues concerning children mental health mind offering discounted online mhfa mental health awareness youth training find mentalhealth,1,5,Negative
207,classroom workshops children laureate wales eloise williams accompanying resources prizes,3,2,Positive
208,colette savage lecturer held webinar week highlight school educations free online open mindfulness course,1,1,Neutral
209,education fo rall education uoa mindfulness,0,0,Neutral
210,signed suspect might save nano year invested creative education online art courses like proko lindsay fastdrafting taster seminar good check,4,2,Positive
211,inspire students learn online blended delivery help expert support team,2,3,Negative
212,goldengirlnot themancunion paying thousands pounds education not getting wanted online teaching could done ou fraction cost imprisoning campus nt need say anything every right angry,3,4,Negative
213,purple leaf education running new course february supporting adolescent amp child survivors sexual violence accredited online course per delegate contact enquiriespurpleleaforguk details rapecrisiseandw opencollnet purpleleaf,3,3,Neutral
214,welcome full suite education services teacher recruitment online private tutoring online english language coaching contact us help privatetutor teachingjobs englishlessons,1,4,Negative
215,hand trend online education industry steadily increasing time aware adoption online courses would key revenue stream many businesses coming years,1,2,Negative
216,fancy becoming paid student ambassador work schools colleges support ucas fairs deliver online content open days closes need students maths photography geography construction building media aampd education,5,8,Negative
217,radiology research day days away year theme evidencebased radiology includes topics artificialintelligence chaired aaoplumb online event free open everyone register join nov,3,2,Positive
218,read experiences warwick chinese students navigate uk university life discuss virtual learning socialising online networks like warwick chinese society read chinadaily,3,5,Negative
219,think knowing adapt important inspired every day avanade employees adapted past year post amber hall shares story balancing work online schooling workatavanade,4,2,Positive
220,trying keep online learning course developed lshtm educationmatters,0,1,Negative
221,news prof rupertward hudcompeng talk compatsch autumn event online learning techniques improved using lessons taken pandemic lockdown read research casautumnevent casvirtual,2,3,Negative
222,response rare communities amp communications moved online attend discover online youth community onlinelearning platform designed medicalstudents interested rarediseases,3,2,Positive
223,safety priority not let put stop training amp development prefer learning covid safe classrooms online help infobrightdirectiontrainingcouk training learninganddeveloment,5,2,Positive
224,reading safer care ahsn network ahsnnetwork rapidlearning report role patient safety collaboratives pscs pandemic freely available online,6,5,Positive
225,parties tokyoconvention recognition qualifications asia pacific special statement call recognition online learning not easy report asiaed internationalstudents studentmobility studyabroad,1,3,Negative
226,educationgovuk completely agree home many distractions making difficult online learning think known generation,1,3,Negative
227,update free online course socialprotection includes new module coronavirus join return course make use extra content idsuk irishaid spgateway eprisa ugentilini,3,2,Positive
228,training always important part working projectprofessional training presents prime opportunity expand knowledge base project professionals wake time turn attention online learning,4,2,Positive
229,sadiephillips special issue bjeteds beranews collated research virtual learning,0,4,Negative
230,top tips buys itmpower hydrogen fuel ethereum coin melodyvr virtual music snowflake data cloud learningtechnologygroup online learning considerable upside without pandemic,1,6,Negative
231,informing parentsguardians due selfisolation going exclude year groups periodically unable provide enough cover structured online learning sporadic catchup right educationgovuk ukschools,2,4,Negative
232,petition enable online learning children live vulnerable cev shieldingsaveslives alternatively closetheschools,0,5,Negative
233,face face training much harder arrange safely days thought share latest feedback proof physical distance need not barrier effective even enjoyable learning training,6,2,Positive
234,heartandparcel rethink way offered provision team done amazing work evaluation online project happy community learners w us learning english cooking amp much,4,0,Positive
235,interactive online workshop want learn affected stress amp anxiety stayresilient throughout beyond book get stressawarenessweek,3,5,Negative
236,radiostaffsuni staffsfilmmedia student keavy devonish appeared week chatting staffsuni blended learning approach knitting helps concentrate online lectures listen via bbcsounds,0,2,Negative
237,raising funds uj interestingone challenges faced making sure students could online learning lot communications telecoms providers etc make available people may not access highered,3,5,Negative
238,put shoes check students online learning environment covid highered,0,3,Negative
239,check students,0,3,Negative
240,uk students affected lockdown england,0,2,Negative
241,since school opened friends got corona virus transmitted kids challenging issue choose education health seems online lessons not much effective children,2,5,Negative
242,china go back leave new land occupied,0,0,Neutral
243,corona go away,0,0,Neutral
244,healthcare education accessible,1,0,Positive
245,colals standard education got number people mixing kids gone back bugs gone pcr test not test covid corona virus live dead sooooooo testing irrelevant scared propaganda,0,11,Negative
246,anyone working extra curricular arts education want link become corona planning friends would love support understanding unclear new guidelines artseducation covidplanning assistanceneeded,4,3,Positive
247,blxckmoth way online education,0,0,Neutral
248,sorry reality corona somehow not gon na get young,0,1,Negative
249,sat bfs online lectures fine making one inperson lesson week dumb,1,1,Neutral
250,like risk passing corona education establishments means keep tuition fees,1,3,Negative
251,education corona times thread discussion daughter secondary school teacher gavinwilliamson kategreensu nasuwt extraordinary times agreed not take opportunity revolutionise education online learning not panacea,2,6,Negative
252,borisjohnson keeping education establishments open counterproductive mixing children different households surely worse making everyone stay home,1,3,Negative
253,corona virus not going wait outside school gates think,0,1,Negative
254,pathetic boris put us lockdown education exempt tbh corona like schools attend,1,1,Neutral
255,fact lockdown education establishments remain open worrying last weeks several people know caught covid told selfisolate child tested positive corona attended school,1,6,Negative
